Unit:(mV)
                     CH1         CH2
Frequency              ?  999.988 Hz
Period                 ?    1.000 ms
00001             240.00      -20.00
00002             220.00      -20.00
00003             220.00        0.00
00004             240.00      -20.00
00005             260.00      -20.00
00006             220.00        0.00
00007             260.00      -20.00
00008             220.00        0.00
00009             240.00        0.00
00010             260.00       20.00
00011             260.00     1940.00
00012              40.00     1960.00
00013              40.00     1960.00
00014              20.00     1960.00
00015              20.00     1960.00
00016              40.00     1960.00
00017              20.00     1940.00
00018              20.00     1960.00
00019              40.00     1960.00
00020              20.00     1960.00
00021               0.00     1980.00
00022               0.00     1960.00
00023              20.00       80.00
00024              20.00      -20.00
00025               0.00      -20.00
00026              20.00      -20.00
00027             -20.00      -40.00
00028              20.00      -20.00
00029              20.00      -20.00
00030             -40.00      -20.00
00031             -20.00        0.00
00032             -20.00      -20.00
00033               0.00        0.00
00034               0.00      -20.00
00035             -40.00      -40.00
00036               0.00      -40.00
00037             -40.00      -40.00
00038               0.00      -20.00
00039               0.00      -20.00
00040             -40.00        0.00
00041             -20.00      -40.00
00042             -20.00      -20.00
00043               0.00      -20.00
00044             -60.00      -20.00
00045             -40.00      -20.00
00046             -40.00      -20.00
00047             -40.00      -20.00
00048             -80.00        0.00
00049             -60.00        0.00
00050             -60.00      -20.00
00051             -40.00      -20.00
00052             -80.00      -40.00
00053            -100.00        0.00
00054             -80.00      -20.00
00055             -60.00      -20.00
00056             -80.00      -20.00
00057             -80.00      -20.00
00058             -60.00      -20.00
00059             -60.00        0.00
00060             -80.00       20.00
00061             -80.00      -20.00
00062             -60.00      -20.00
00063             -60.00      -20.00
00064            -100.00      -20.00
00065             -80.00      -20.00
00066            -100.00      -20.00
00067            -100.00      -20.00
00068            -100.00      -20.00
00069            -120.00      -20.00
00070            -120.00      -20.00
00071            -120.00      -20.00
00072             -80.00      -20.00
00073            -100.00      -20.00
00074            -140.00      -20.00
00075            -100.00      -40.00
00076            -140.00        0.00
00077            -120.00        0.00
00078            -100.00        0.00
00079            -140.00        0.00
00080            -140.00      -20.00
00081            -140.00      -20.00
00082            -100.00      -20.00
00083            -140.00      -20.00
00084            -160.00      -20.00
00085            -120.00      -20.00
00086            -140.00      -20.00
00087            -180.00      -20.00
00088            -140.00      -20.00
00089            -120.00      -20.00
00090            -140.00      -20.00
00091            -140.00        0.00
00092            -180.00      -20.00
00093            -200.00      -20.00
00094            -140.00      -20.00
00095            -200.00      -20.00
00096            -180.00      -20.00
00097            -140.00      -40.00
00098            -200.00        0.00
00099            -180.00      -20.00
00100            -200.00      -20.00
00101            -180.00        0.00
00102            -160.00      -20.00
00103            -200.00        0.00
00104            -180.00      -20.00
00105            -200.00      -20.00
00106            -180.00      -20.00
00107            -200.00      -20.00
00108            -220.00      -20.00
00109            -200.00      -20.00
00110            -220.00        0.00
00111            -220.00      -20.00
00112            -200.00      -40.00
00113            -200.00        0.00
00114            -200.00      -20.00
00115            -200.00        0.00
00116            -200.00      -20.00
00117            -220.00      -20.00
00118            -220.00      -20.00
00119            -220.00      -20.00
00120            -220.00      -20.00
00121            -200.00      -20.00
00122            -220.00      -20.00
00123            -220.00      -20.00
00124            -220.00      -20.00
00125            -240.00      -20.00
00126            -220.00      -20.00
00127            -220.00        0.00
00128            -220.00        0.00
00129            -240.00      -20.00
00130            -220.00      -20.00
00131            -200.00      -20.00
00132            -240.00      -40.00
00133            -220.00      -20.00
00134            -220.00       20.00
00135            -220.00        0.00
00136            -240.00      -20.00
00137            -260.00        0.00
00138            -240.00        0.00
00139            -220.00      -20.00
00140            -240.00      -20.00
00141            -260.00      -20.00
00142            -240.00      -20.00
00143            -260.00      -20.00
00144            -240.00        0.00
00145            -240.00      -20.00
00146            -240.00      -20.00
00147            -220.00      -20.00
00148            -220.00        0.00
00149            -220.00      -20.00
00150            -220.00      -20.00
00151            -240.00      -20.00
00152            -240.00      -20.00
00153            -240.00        0.00
00154            -240.00      -20.00
00155            -240.00        0.00
00156            -240.00      -40.00
00157            -240.00      -20.00
00158            -220.00      -20.00
00159            -220.00      -20.00
00160            -240.00        0.00
00161            -240.00      -20.00
00162            -240.00        0.00
00163            -240.00      -20.00
00164            -220.00        0.00
00165            -240.00      -20.00
00166            -240.00        0.00
00167            -240.00      -20.00
00168            -220.00        0.00
00169            -220.00        0.00
00170            -240.00        0.00
00171            -220.00        0.00
00172            -240.00        0.00
00173            -260.00        0.00
00174            -220.00        0.00
00175            -240.00        0.00
00176            -240.00        0.00
00177            -240.00        0.00
00178            -240.00      -20.00
00179            -240.00        0.00
00180            -200.00      -20.00
00181            -240.00      -20.00
00182            -220.00      -20.00
00183            -220.00        0.00
00184            -200.00        0.00
00185            -220.00      -20.00
00186            -240.00      -20.00
00187            -220.00      -20.00
00188            -240.00        0.00
00189            -240.00      -20.00
00190            -220.00        0.00
00191            -200.00        0.00
00192            -240.00      -20.00
00193            -220.00      -20.00
00194            -200.00      -20.00
00195            -220.00      -40.00
00196            -220.00      -20.00
00197            -220.00      -20.00
00198            -220.00        0.00
00199            -240.00      -20.00
00200            -200.00      -20.00
00201            -220.00      -20.00
00202            -240.00        0.00
00203            -180.00      -20.00
00204            -200.00      -20.00
00205            -220.00        0.00
00206            -220.00      -20.00
00207            -220.00      -20.00
00208            -200.00      -20.00
00209            -180.00        0.00
00210            -160.00        0.00
00211            -220.00        0.00
00212            -200.00      -20.00
00213            -200.00      -20.00
00214            -180.00      -20.00
00215            -160.00        0.00
00216            -160.00      -20.00
00217            -180.00      -20.00
00218            -140.00        0.00
00219            -180.00      -20.00
00220            -180.00        0.00
00221            -160.00      -20.00
00222            -220.00        0.00
00223            -180.00        0.00
00224            -180.00        0.00
00225            -200.00      -20.00
00226            -200.00       20.00
00227            -200.00        0.00
00228            -200.00      -20.00
00229            -140.00      -20.00
00230            -160.00        0.00
00231            -180.00        0.00
00232            -140.00        0.00
00233            -160.00      -20.00
00234            -180.00        0.00
00235            -160.00      -20.00
00236            -180.00        0.00
00237            -180.00      -20.00
00238            -180.00      -20.00
00239            -140.00        0.00
00240            -120.00        0.00
00241            -160.00      -20.00
00242            -140.00      -20.00
00243            -120.00        0.00
00244            -160.00        0.00
00245            -140.00      -20.00
00246            -160.00        0.00
00247            -180.00      -20.00
00248            -140.00      -20.00
00249            -100.00        0.00
00250            -140.00        0.00
00251            -100.00        0.00
00252            -140.00      -20.00
00253            -100.00        0.00
00254             -80.00        0.00
00255            -120.00        0.00
00256             -80.00      -20.00
00257             -80.00      -20.00
00258             -60.00        0.00
00259            -140.00      -20.00
00260            -100.00        0.00
00261            -100.00      -20.00
00262             -60.00        0.00
00263            -100.00      -20.00
00264            -120.00      -20.00
00265            -100.00        0.00
00266            -120.00      -20.00
00267            -120.00      -20.00
00268            -100.00        0.00
00269             -20.00       20.00
00270             -80.00        0.00
00271             -40.00      -20.00
00272            -100.00      -20.00
00273             -60.00        0.00
00274             -60.00      -20.00
00275             -40.00      -20.00
00276             -60.00        0.00
00277             -60.00        0.00
00278             -80.00      -20.00
