Unit:(mV)
                     CH1         CH2
Frequency              ?  999.989 Hz
Period                 ?    1.000 ms
00001             660.00        0.00
00002             640.00        0.00
00003             700.00        0.00
00004             700.00        0.00
00005             660.00        0.00
00006             680.00        0.00
00007             660.00      -20.00
00008             700.00      -20.00
00009             700.00        0.00
00010             640.00       20.00
00011              60.00     1960.00
00012              20.00     1960.00
00013              60.00     1960.00
00014              40.00     1960.00
00015               0.00     1960.00
00016              80.00     1980.00
00017             -40.00     1960.00
00018              40.00     1960.00
00019              60.00     1960.00
00020              60.00     1960.00
00021             100.00     1960.00
00022              80.00     1960.00
00023              40.00      -20.00
00024             -20.00      -20.00
00025              40.00      -20.00
00026             -40.00      -20.00
00027             100.00      -20.00
00028               0.00        0.00
00029             -20.00      -40.00
00030               0.00        0.00
00031               0.00      -40.00
00032             -20.00      -20.00
00033             -20.00      -20.00
00034              60.00      -20.00
00035             -40.00      -20.00
00036              20.00      -20.00
00037             -20.00      -20.00
00038              20.00      -20.00
00039              60.00      -20.00
00040              60.00      -20.00
00041              60.00      -20.00
00042              60.00      -20.00
00043               0.00        0.00
00044             -60.00      -20.00
00045              60.00      -20.00
00046             -20.00        0.00
00047               0.00      -20.00
00048              60.00      -20.00
00049              20.00        0.00
00050              20.00      -20.00
00051              40.00      -20.00
00052              60.00      -20.00
00053               0.00      -20.00
00054             -40.00        0.00
00055              40.00        0.00
00056             -60.00      -20.00
00057             -20.00      -20.00
00058              60.00      -20.00
00059              40.00      -20.00
00060              40.00      -20.00
00061              40.00      -20.00
00062              40.00      -20.00
00063             -60.00      -20.00
00064               0.00      -20.00
00065             -40.00        0.00
00066              40.00      -20.00
00067             -40.00      -20.00
00068             -40.00        0.00
00069               0.00      -20.00
00070             -20.00      -20.00
00071             -20.00      -20.00
00072             -60.00      -20.00
00073              40.00      -20.00
00074             -20.00      -20.00
00075             -20.00        0.00
00076             -40.00        0.00
00077              40.00      -20.00
00078              20.00      -20.00
00079              20.00      -20.00
00080             -20.00      -20.00
00081              60.00      -20.00
00082               0.00      -20.00
00083            -100.00      -20.00
00084              60.00      -20.00
00085             -60.00      -20.00
00086              40.00      -20.00
00087               0.00      -20.00
00088             -60.00      -20.00
00089            -100.00      -20.00
00090             -80.00      -20.00
00091             -20.00      -20.00
00092              40.00      -20.00
00093             -40.00      -20.00
00094              20.00      -20.00
00095            -120.00      -20.00
00096              20.00      -20.00
00097              20.00        0.00
00098             -60.00        0.00
00099             -20.00      -20.00
00100             -60.00      -40.00
00101              20.00      -20.00
00102               0.00      -20.00
00103            -100.00      -20.00
00104              20.00        0.00
00105             -40.00        0.00
00106             -40.00      -20.00
00107              20.00      -20.00
00108              20.00      -20.00
00109              20.00      -20.00
00110              20.00        0.00
00111             -20.00        0.00
00112             -60.00      -20.00
00113              40.00      -20.00
00114            -100.00      -20.00
00115              20.00        0.00
00116               0.00      -20.00
00117            -100.00        0.00
00118             -80.00      -20.00
00119            -100.00      -20.00
00120             -40.00      -20.00
00121             -20.00        0.00
00122             -40.00        0.00
00123             -40.00        0.00
00124               0.00        0.00
00125             -40.00        0.00
00126            -100.00      -20.00
00127             -80.00        0.00
00128             -40.00        0.00
00129             -60.00        0.00
00130            -100.00      -20.00
00131             -80.00      -20.00
00132              20.00      -20.00
00133             -60.00      -20.00
00134              20.00        0.00
00135             -80.00      -20.00
00136             -60.00      -20.00
00137             -40.00      -20.00
00138             -20.00      -20.00
00139             -60.00      -20.00
00140             -60.00      -20.00
00141             -40.00      -40.00
00142             -20.00      -20.00
00143             -60.00        0.00
00144               0.00      -20.00
00145             -20.00      -40.00
00146             -80.00      -20.00
00147            -120.00        0.00
00148             -80.00      -20.00
00149            -100.00        0.00
00150             -40.00      -20.00
00151               0.00      -40.00
00152             -60.00        0.00
00153              40.00      -20.00
00154            -120.00        0.00
00155             -20.00        0.00
00156              20.00      -40.00
00157             -20.00        0.00
00158              20.00        0.00
00159              20.00      -20.00
00160             -40.00      -20.00
00161             -40.00      -20.00
00162              20.00      -20.00
00163             -80.00        0.00
00164             -20.00        0.00
00165              20.00      -20.00
00166             -20.00        0.00
00167             -20.00      -20.00
00168             -20.00        0.00
00169               0.00      -20.00
00170              20.00      -20.00
00171             -80.00      -20.00
00172             -40.00      -20.00
00173             -40.00        0.00
00174              20.00      -20.00
00175             -40.00      -20.00
00176             -40.00      -20.00
00177            -100.00        0.00
00178             -20.00        0.00
00179             -20.00      -20.00
00180              20.00        0.00
00181             -40.00      -20.00
00182               0.00      -20.00
00183             -80.00      -20.00
00184               0.00      -20.00
00185              20.00      -20.00
00186               0.00      -20.00
00187               0.00      -20.00
00188              20.00        0.00
00189              20.00        0.00
00190             -40.00      -20.00
00191             -80.00        0.00
00192               0.00      -20.00
00193              40.00        0.00
00194            -100.00        0.00
00195             -20.00      -20.00
00196               0.00      -20.00
00197             -20.00      -20.00
00198             -40.00      -20.00
00199             -60.00      -20.00
00200             -20.00        0.00
00201               0.00      -20.00
00202               0.00        0.00
00203             -40.00        0.00
00204               0.00        0.00
00205             -20.00      -20.00
00206             -20.00      -20.00
00207             -20.00      -20.00
00208              20.00      -20.00
00209             -20.00      -20.00
00210             -60.00        0.00
00211              40.00      -20.00
00212            -100.00        0.00
00213               0.00        0.00
00214              40.00      -20.00
00215             -80.00      -20.00
00216             -20.00        0.00
00217             -40.00        0.00
00218              40.00      -20.00
00219              20.00        0.00
00220             -80.00      -20.00
00221              40.00      -20.00
00222             -60.00        0.00
00223               0.00        0.00
00224              20.00        0.00
00225               0.00        0.00
00226             -40.00      -20.00
00227               0.00      -20.00
00228               0.00        0.00
00229             -60.00      -20.00
00230             -20.00        0.00
00231              20.00        0.00
00232             -40.00        0.00
00233             -60.00        0.00
00234             -40.00        0.00
00235               0.00        0.00
00236              40.00      -20.00
00237             -40.00        0.00
00238            -100.00        0.00
00239               0.00      -20.00
00240              20.00        0.00
00241             -80.00      -20.00
00242             -40.00      -20.00
00243             100.00        0.00
00244              40.00        0.00
00245               0.00      -20.00
00246               0.00      -40.00
00247              60.00        0.00
00248              80.00      -20.00
00249             -80.00      -20.00
00250               0.00      -20.00
00251             -80.00      -20.00
00252              60.00        0.00
00253             -60.00       20.00
00254             -60.00        0.00
00255            -100.00        0.00
00256             -80.00      -20.00
00257             -60.00      -20.00
00258              80.00        0.00
00259             -60.00      -20.00
00260             -40.00      -20.00
00261             -40.00      -20.00
00262              80.00      -20.00
00263               0.00        0.00
00264             -80.00        0.00
00265             -80.00      -20.00
00266             -80.00        0.00
00267              40.00        0.00
00268              80.00      -20.00
00269             -80.00        0.00
00270              20.00      -20.00
00271            -100.00        0.00
00272              60.00        0.00
00273              20.00        0.00
00274              40.00        0.00
00275               0.00        0.00
00276              80.00        0.00
00277              40.00        0.00
00278             -80.00        0.00
00279              20.00        0.00
00280             -40.00      -20.00
00281              20.00        0.00
00282            -100.00      -20.00
00283             -80.00      -20.00
00284             -40.00      -20.00
00285             -60.00      -20.00
00286             -80.00      -20.00
00287             -80.00        0.00
00288              40.00      -20.00
00289            -120.00        0.00
00290              80.00      -20.00
00291            -100.00        0.00
00292             -40.00      -20.00
00293             100.00      -20.00
00294              40.00        0.00
00295             100.00        0.00
00296             -20.00        0.00
00297            -120.00        0.00
00298              20.00      -20.00
00299             -20.00        0.00
00300             -20.00        0.00
00301            -120.00        0.00
00302              20.00        0.00
00303              80.00        0.00
00304             120.00        0.00
00305              80.00      -20.00
00306              20.00      -20.00
00307            -120.00      -20.00
00308               0.00        0.00
00309             -60.00      -20.00
00310              80.00        0.00
00311            -100.00      -20.00
00312             -80.00        0.00
00313               0.00        0.00
00314             -20.00        0.00
00315             -40.00        0.00
00316            -120.00        0.00
00317             -40.00        0.00
00318              40.00        0.00
00319             -80.00      -20.00
00320             -40.00      -20.00
00321              40.00        0.00
00322             -60.00      -20.00
00323            -100.00        0.00
00324            -100.00        0.00
00325             -40.00        0.00
00326              40.00      -20.00
00327             -60.00      -20.00
00328             -80.00        0.00
00329               0.00        0.00
00330             -20.00        0.00
00331            -120.00      -20.00
00332             -80.00      -20.00
00333             -60.00        0.00
00334             -60.00      -20.00
00335            -120.00        0.00
00336             -80.00        0.00
00337              80.00      -20.00
00338            -100.00        0.00
00339              20.00      -20.00
00340            -100.00      -20.00
00341            -100.00      -20.00
00342             -20.00        0.00
00343              40.00      -20.00
00344             -20.00      -20.00
00345             -80.00        0.00
00346            -100.00      -20.00
00347              40.00        0.00
00348            -120.00      -20.00
00349              80.00        0.00
00350             -60.00      -20.00
00351             -80.00        0.00
00352             -80.00        0.00
00353             -60.00        0.00
00354            -100.00      -20.00
00355            -100.00        0.00
00356               0.00      -20.00
00357             -40.00        0.00
00358             -40.00        0.00
00359             -80.00        0.00
00360               0.00        0.00
00361             -20.00        0.00
00362             -80.00        0.00
00363             -80.00        0.00
00364             -20.00      -20.00
00365              20.00        0.00
00366            -100.00      -20.00
00367             -40.00       20.00
00368             -20.00        0.00
00369             -40.00        0.00
00370            -100.00        0.00
00371             -60.00        0.00
00372             -80.00        0.00
00373             -60.00        0.00
00374            -100.00        0.00
00375            -100.00        0.00
00376              40.00      -20.00
00377            -100.00        0.00
00378              20.00      -20.00
00379            -100.00      -20.00
00380             -60.00        0.00
00381             -20.00        0.00
00382               0.00      -20.00
00383             -20.00        0.00
00384             -60.00        0.00
00385            -140.00      -20.00
00386               0.00      -20.00
00387             -80.00        0.00
00388              20.00        0.00
00389            -120.00        0.00
00390             -80.00      -20.00
00391             -60.00        0.00
00392             -60.00        0.00
00393             -40.00      -20.00
00394             -80.00      -20.00
00395             -80.00      -20.00
00396               0.00      -20.00
00397            -120.00        0.00
00398             -60.00      -20.00
00399             -40.00        0.00
00400            -120.00        0.00
00401            -100.00        0.00
00402            -100.00        0.00
00403            -120.00        0.00
00404             -60.00        0.00
00405             -60.00        0.00
00406            -120.00      -20.00
00407               0.00      -20.00
00408            -140.00       20.00
00409             -80.00        0.00
00410             -20.00        0.00
00411             -60.00      -20.00
00412             -20.00        0.00
00413             -80.00        0.00
00414             -60.00        0.00
00415             -80.00      -20.00
00416             -80.00      -20.00
00417            -120.00        0.00
00418             -80.00        0.00
00419             -20.00      -20.00
00420             -20.00        0.00
00421             -20.00        0.00
00422             -40.00        0.00
00423               0.00        0.00
00424             -60.00        0.00
00425            -120.00       20.00
00426             -80.00       20.00
00427            -120.00        0.00
00428             -60.00        0.00
00429            -100.00        0.00
00430             -40.00      -20.00
00431             -80.00        0.00
00432             -20.00      -20.00
00433             -80.00      -20.00
00434             -80.00      -20.00
00435            -100.00      -20.00
00436            -120.00        0.00
00437            -120.00        0.00
00438             -80.00        0.00
00439             -60.00        0.00
00440             -40.00        0.00
00441             -60.00        0.00
00442             -60.00        0.00
00443             -60.00        0.00
00444            -140.00        0.00
00445            -120.00        0.00
00446            -120.00        0.00
00447            -120.00      -20.00
00448            -100.00      -20.00
00449            -120.00      -20.00
00450            -140.00      -20.00
00451            -140.00      -20.00
00452            -140.00        0.00
00453             -40.00       20.00
00454            -120.00        0.00
00455            -160.00        0.00
00456            -100.00       20.00
00457            -100.00        0.00
00458            -100.00        0.00
00459            -100.00      -20.00
00460            -120.00        0.00
00461            -100.00      -20.00
00462            -100.00        0.00
00463            -140.00      -20.00
00464             -80.00      -20.00
00465            -100.00        0.00
00466            -120.00      -20.00
00467            -120.00        0.00
00468             -60.00      -20.00
00469            -140.00        0.00
00470            -100.00      -20.00
00471            -120.00        0.00
00472            -100.00        0.00
00473            -140.00        0.00
00474            -160.00       20.00
00475            -120.00        0.00
00476            -120.00      -20.00
00477            -100.00        0.00
00478            -140.00      -20.00
00479            -120.00        0.00
00480             -80.00        0.00
00481            -100.00        0.00
00482            -140.00        0.00
00483            -100.00       20.00
00484             -80.00        0.00
00485            -120.00        0.00
00486            -120.00        0.00
00487            -140.00        0.00
00488            -140.00        0.00
00489             -80.00       20.00
00490            -120.00        0.00
00491            -120.00        0.00
00492            -180.00        0.00
00493            -100.00        0.00
00494            -120.00      -20.00
00495            -120.00        0.00
00496            -180.00        0.00
00497            -180.00      -20.00
00498            -120.00        0.00
00499            -120.00        0.00
00500            -120.00        0.00
00501            -180.00      -20.00
00502            -140.00        0.00
00503            -180.00        0.00
00504            -180.00        0.00
00505            -180.00        0.00
00506            -160.00        0.00
00507            -160.00        0.00
00508            -120.00      -20.00
00509            -140.00      -20.00
00510            -120.00      -20.00
00511            -180.00      -20.00
00512            -140.00      -20.00
00513            -140.00      -20.00
00514            -180.00      -20.00
00515            -200.00        0.00
00516            -180.00      -20.00
00517            -180.00        0.00
00518            -140.00        0.00
00519            -120.00        0.00
00520            -140.00        0.00
00521            -180.00        0.00
00522            -220.00      -20.00
00523            -140.00        0.00
00524            -140.00        0.00
00525            -140.00        0.00
00526            -220.00      -20.00
00527            -180.00        0.00
00528            -180.00      -20.00
00529            -140.00        0.00
00530            -200.00      -20.00
00531            -200.00      -20.00
00532            -180.00        0.00
00533            -180.00      -20.00
00534            -140.00        0.00
00535            -180.00      -20.00
00536            -200.00      -20.00
00537            -180.00      -20.00
00538            -180.00        0.00
00539            -160.00        0.00
00540            -220.00        0.00
00541            -160.00      -20.00
00542            -200.00        0.00
00543            -200.00      -20.00
00544            -240.00        0.00
00545            -200.00      -20.00
00546            -180.00        0.00
00547            -200.00        0.00
00548            -200.00        0.00
00549            -200.00        0.00
00550            -180.00        0.00
00551            -220.00        0.00
00552            -240.00        0.00
00553            -200.00        0.00
00554            -200.00        0.00
00555            -220.00      -20.00
00556            -220.00      -20.00
00557            -200.00        0.00
00558            -200.00        0.00
00559            -200.00        0.00
00560            -260.00        0.00
00561            -200.00      -20.00
00562            -220.00        0.00
00563            -240.00        0.00
00564            -220.00      -20.00
00565            -180.00        0.00
00566            -220.00      -20.00
00567            -260.00        0.00
00568            -240.00        0.00
00569            -240.00        0.00
00570            -200.00        0.00
00571            -220.00      -20.00
00572            -280.00        0.00
00573            -240.00        0.00
00574            -260.00      -20.00
00575            -200.00        0.00
00576            -200.00        0.00
00577            -200.00        0.00
00578            -220.00        0.00
00579            -220.00        0.00
00580            -220.00        0.00
00581            -240.00      -20.00
00582            -220.00        0.00
00583            -260.00        0.00
00584            -220.00        0.00
00585            -260.00       20.00
00586            -200.00      -20.00
00587            -200.00      -20.00
00588            -200.00        0.00
00589            -220.00        0.00
00590            -200.00       20.00
00591            -300.00      -20.00
00592            -240.00      -20.00
00593            -300.00        0.00
00594            -200.00        0.00
00595            -220.00      -20.00
00596            -200.00        0.00
00597            -200.00      -20.00
00598            -200.00        0.00
00599            -200.00        0.00
00600            -220.00        0.00
00601            -300.00        0.00
00602            -240.00      -20.00
00603            -300.00        0.00
00604            -260.00        0.00
00605            -240.00      -20.00
00606            -200.00        0.00
00607            -220.00        0.00
00608            -220.00        0.00
00609            -240.00        0.00
00610            -340.00        0.00
00611            -200.00      -20.00
00612            -320.00        0.00
00613            -220.00      -20.00
00614            -300.00      -20.00
00615            -360.00      -20.00
00616            -320.00        0.00
00617            -320.00        0.00
00618            -360.00      -20.00
00619            -320.00      -20.00
00620            -220.00        0.00
00621            -320.00      -20.00
00622            -200.00        0.00
00623            -340.00      -20.00
00624            -280.00        0.00
00625            -220.00        0.00
00626            -240.00        0.00
00627            -200.00      -20.00
00628            -260.00      -20.00
00629            -320.00        0.00
00630            -260.00        0.00
00631            -260.00        0.00
00632            -300.00        0.00
00633            -320.00        0.00
00634            -240.00        0.00
00635            -220.00        0.00
00636            -220.00        0.00
00637            -240.00        0.00
00638            -240.00        0.00
00639            -320.00        0.00
00640            -260.00        0.00
00641            -300.00        0.00
00642            -240.00      -20.00
00643            -320.00        0.00
00644            -300.00        0.00
00645            -260.00        0.00
00646            -260.00        0.00
00647            -260.00      -20.00
00648            -340.00        0.00
00649            -320.00        0.00
00650            -220.00        0.00
00651            -340.00      -20.00
00652            -240.00       20.00
00653            -260.00        0.00
00654            -340.00        0.00
00655            -340.00        0.00
00656            -340.00        0.00
00657            -320.00        0.00
00658            -260.00        0.00
00659            -280.00        0.00
00660            -320.00        0.00
00661            -280.00      -20.00
00662            -300.00        0.00
00663            -300.00      -20.00
00664            -300.00      -20.00
00665            -280.00      -20.00
00666            -280.00      -20.00
00667            -300.00        0.00
00668            -320.00      -20.00
00669            -220.00        0.00
00670            -300.00      -20.00
00671            -240.00        0.00
00672            -300.00      -20.00
00673            -300.00        0.00
00674            -260.00      -20.00
00675            -240.00      -20.00
00676            -240.00        0.00
00677            -300.00        0.00
00678            -300.00       20.00
00679            -220.00      -20.00
00680            -320.00      -20.00
00681            -200.00        0.00
00682            -300.00        0.00
00683            -320.00        0.00
00684            -300.00      -20.00
00685            -280.00        0.00
00686            -320.00      -20.00
00687            -320.00      -20.00
00688            -300.00      -20.00
00689            -240.00        0.00
00690            -320.00      -20.00
00691            -280.00        0.00
00692            -240.00        0.00
00693            -320.00        0.00
00694            -300.00       20.00
00695            -340.00        0.00
00696            -320.00      -20.00
00697            -240.00        0.00
00698            -280.00        0.00
00699            -320.00        0.00
00700            -200.00      -20.00
00701            -320.00        0.00
00702            -320.00        0.00
00703            -280.00      -20.00
00704            -240.00       20.00
00705            -240.00        0.00
00706            -300.00      -20.00
00707            -320.00        0.00
00708            -220.00      -20.00
00709            -320.00        0.00
00710            -280.00      -20.00
00711            -340.00        0.00
00712            -240.00        0.00
00713            -140.00        0.00
00714            -180.00        0.00
00715            -140.00        0.00
00716            -200.00        0.00
00717            -320.00        0.00
00718            -300.00        0.00
00719            -240.00      -20.00
00720            -280.00        0.00
00721            -340.00      -20.00
00722            -240.00      -20.00
00723            -140.00        0.00
00724            -180.00        0.00
00725            -140.00        0.00
00726            -280.00        0.00
00727            -340.00      -20.00
00728            -180.00        0.00
00729            -340.00        0.00
00730            -180.00       20.00
00731            -320.00        0.00
00732            -340.00      -20.00
00733            -300.00        0.00
00734            -300.00        0.00
00735            -340.00        0.00
00736            -340.00      -20.00
00737            -240.00        0.00
00738            -280.00      -20.00
00739            -280.00      -20.00
00740            -360.00        0.00
00741            -140.00        0.00
00742            -200.00        0.00
00743            -260.00      -20.00
00744            -240.00      -20.00
00745            -180.00        0.00
00746            -160.00        0.00
00747            -340.00      -20.00
00748            -220.00        0.00
00749            -340.00        0.00
