Unit:(mV)
                     CH1         CH2
Frequency              ?   1.214 kHz
Period                 ?  823.723 us
00001              40.00      -16.00
00002              40.00      -16.00
00003              80.00      -20.00
00004              40.00      -20.00
00005              40.00      -20.00
00006              40.00      -16.00
00007             -80.00      -20.00
00008             -80.00      -20.00
00009            -200.00      -16.00
00010            -320.00      -16.00
00011            -240.00      500.00
00012            -280.00      500.00
00013            -320.00      500.00
00014            -360.00      -44.00
00015            -400.00      -36.00
00016            -440.00      -40.00
00017            -440.00      -40.00
00018            -400.00      -36.00
00019            -360.00      -40.00
00020            -280.00      -32.00
00021            -200.00      -36.00
00022            -120.00      -44.00
00023             -40.00      -28.00
00024               0.00      -36.00
00025              40.00      -36.00
00026             120.00      -32.00
00027             200.00      -32.00
00028             240.00      -28.00
00029             280.00      -28.00
00030             320.00      -36.00
00031             360.00      -28.00
00032             400.00      -28.00
00033             480.00      -32.00
00034             480.00      -32.00
00035             520.00      -32.00
00036             560.00      -28.00
00037             560.00      -20.00
00038             560.00      -24.00
00039             560.00      -28.00
00040             560.00      -32.00
00041             560.00      -28.00
00042             520.00      -28.00
00043             480.00      -32.00
00044             480.00      -36.00
00045             400.00      -32.00
00046             360.00      -28.00
00047             280.00      -28.00
00048             160.00      -20.00
00049             120.00      -24.00
00050              40.00      -24.00
00051             -80.00      -28.00
00052            -200.00      -28.00
00053            -240.00      -24.00
00054            -400.00      -24.00
00055            -440.00      -24.00
00056            -520.00      -16.00
00057            -600.00      -24.00
00058            -680.00      -24.00
00059            -760.00      -28.00
00060            -800.00      -20.00
00061            -880.00      -24.00
00062            -920.00      -24.00
00063           -1000.00      -24.00
00064           -1040.00      -20.00
00065           -1120.00      -20.00
00066           -1120.00      -24.00
00067           -1120.00      -24.00
00068           -1160.00      -32.00
00069           -1160.00      -28.00
00070           -1160.00      -24.00
00071           -1120.00      -20.00
00072           -1080.00      -24.00
00073            -920.00      -24.00
00074            -880.00      -20.00
00075            -720.00      -16.00
00076            -600.00      -24.00
00077            -400.00      -20.00
00078            -200.00      -28.00
00079             -80.00      -20.00
00080             120.00      -20.00
00081             240.00      -16.00
00082             400.00      -24.00
00083             520.00      -20.00
00084             640.00      -24.00
00085             720.00      -20.00
00086             760.00      -24.00
00087             840.00      -24.00
00088             840.00      -20.00
00089             920.00      -16.00
00090             880.00      -24.00
00091             880.00      -16.00
00092             840.00      -24.00
00093             760.00      -20.00
00094             720.00      -20.00
00095             680.00      -20.00
00096             600.00      -20.00
00097             560.00      -16.00
00098             520.00      -20.00
00099             520.00      -24.00
00100             480.00      -20.00
00101             440.00      -20.00
00102             400.00      -20.00
00103             360.00      -20.00
00104             360.00      -20.00
00105             280.00      -16.00
00106             200.00      -20.00
00107             160.00      -20.00
00108              40.00      -20.00
00109             -40.00      -20.00
00110             -80.00      -16.00
00111            -160.00      -24.00
00112            -240.00      -24.00
00113            -280.00      -16.00
00114            -400.00      -16.00
00115            -480.00      -16.00
00116            -480.00      -16.00
00117            -520.00      -20.00
00118            -480.00      -16.00
00119            -440.00      -20.00
00120            -320.00      -20.00
00121            -200.00      -20.00
00122             -80.00      -12.00
00123               0.00      -16.00
00124              80.00      -20.00
00125             160.00      -16.00
00126             200.00      -16.00
00127             240.00      -16.00
00128             240.00      -16.00
00129             240.00      -16.00
00130             280.00      -16.00
00131             320.00      -16.00
00132             320.00      -16.00
00133             320.00      -16.00
00134             320.00      -20.00
00135             280.00      -12.00
00136             240.00      -16.00
00137             200.00      -20.00
00138             120.00      -20.00
00139              80.00      -20.00
00140              80.00      -20.00
00141              40.00      -16.00
00142               0.00      -20.00
00143               0.00      -20.00
00144               0.00      -28.00
00145             -40.00      -12.00
00146             -80.00      -16.00
00147            -160.00      -16.00
00148            -240.00      -24.00
00149            -280.00      -24.00
00150            -280.00      -24.00
00151            -400.00      -12.00
00152            -400.00      -20.00
00153            -440.00      -20.00
00154            -440.00      -20.00
00155            -480.00      -20.00
00156            -520.00      -12.00
00157            -520.00      -24.00
00158            -520.00      -20.00
00159            -480.00      -20.00
00160            -440.00      -16.00
00161            -360.00      -16.00
00162            -240.00      -24.00
00163            -160.00      -20.00
00164             -40.00      -20.00
00165              80.00      -20.00
00166             160.00      -20.00
00167             240.00      -12.00
00168             320.00      -24.00
00169             320.00      -24.00
00170             360.00      -16.00
00171             440.00      -16.00
00172             440.00      -24.00
00173             560.00      -20.00
00174             560.00      -16.00
00175             600.00      -16.00
00176             600.00      -16.00
00177             640.00      -16.00
00178             640.00      -16.00
00179             600.00      -16.00
00180             560.00      -16.00
00181             560.00      -12.00
00182             560.00      -16.00
00183             520.00      -16.00
00184             520.00      -20.00
00185             520.00      -16.00
00186             560.00      -28.00
00187             560.00      -24.00
00188             560.00      -16.00
00189             520.00      -12.00
00190             520.00      -12.00
00191             440.00      -12.00
00192             360.00      -20.00
00193             320.00      -12.00
00194             240.00      -16.00
00195             120.00      -20.00
00196               0.00      -24.00
00197            -120.00      -20.00
00198            -280.00      -12.00
00199            -400.00      -16.00
00200            -560.00      -12.00
00201            -600.00      -16.00
00202            -600.00      -16.00
00203            -600.00      -16.00
00204            -520.00      -20.00
00205            -440.00      -16.00
00206            -400.00      -16.00
00207            -240.00      -20.00
00208            -120.00      -16.00
00209             -40.00      -16.00
00210              40.00      -16.00
00211             120.00      -20.00
00212             120.00      -20.00
00213             200.00      -16.00
00214             200.00      -20.00
00215             240.00      -12.00
00216             280.00      -12.00
00217             320.00      -20.00
00218             360.00      -16.00
00219             320.00      -16.00
00220             280.00      -20.00
00221             200.00      -12.00
00222              80.00      -16.00
00223              40.00      -16.00
00224               0.00      -20.00
00225               0.00      -12.00
00226             -40.00      -16.00
00227             -40.00      -16.00
00228             -40.00      -16.00
00229               0.00      -20.00
00230              40.00      -16.00
00231             120.00      -16.00
00232             160.00      -12.00
00233             160.00      -16.00
00234             200.00      -16.00
00235             240.00      -12.00
00236             240.00      -12.00
00237             200.00      -12.00
00238             200.00      -12.00
00239             200.00      -20.00
00240             160.00      -12.00
00241             160.00      -16.00
00242             120.00      -16.00
00243              80.00      -20.00
00244              40.00      -28.00
00245              80.00      -16.00
00246              40.00      -16.00
00247              40.00      -16.00
00248              40.00      -16.00
00249               0.00      -16.00
00250              40.00      -12.00
00251              40.00      -12.00
00252              80.00      -16.00
00253              80.00      -12.00
00254              40.00      -12.00
00255              40.00      -24.00
00256               0.00      -12.00
00257             -80.00      -12.00
00258             -80.00      -12.00
00259            -160.00      -16.00
00260            -280.00      -12.00
00261            -240.00      500.00
00262            -280.00      500.00
00263            -320.00      500.00
00264            -360.00      -32.00
00265            -400.00      -32.00
00266            -440.00      -36.00
00267            -440.00      -32.00
00268            -400.00      -28.00
00269            -360.00      -28.00
00270            -280.00      -32.00
00271            -240.00      -32.00
00272            -120.00      -28.00
00273             -40.00      -32.00
00274              40.00      -32.00
00275              80.00      -28.00
00276             120.00      -24.00
00277             160.00      -28.00
00278             240.00      -28.00
00279             240.00      -24.00
00280             280.00      -32.00
00281             360.00      -28.00
00282             440.00      -28.00
00283             480.00      -28.00
00284             480.00      -24.00
00285             520.00      -20.00
00286             560.00      -24.00
00287             560.00      -20.00
00288             560.00      -32.00
00289             560.00      -24.00
00290             560.00      -24.00
00291             520.00      -24.00
00292             520.00      -24.00
00293             480.00      -24.00
00294             440.00      -20.00
00295             400.00      -16.00
00296             360.00      -20.00
00297             240.00      -24.00
00298             240.00      -20.00
00299             120.00      -20.00
00300               0.00      -24.00
00301             -80.00      -24.00
00302            -200.00      -24.00
00303            -240.00      -20.00
00304            -360.00      -20.00
00305            -480.00      -20.00
00306            -560.00      -20.00
00307            -600.00      -20.00
00308            -680.00      -24.00
00309            -760.00      -24.00
00310            -840.00      -20.00
00311            -880.00      -24.00
00312            -960.00      -20.00
00313           -1040.00      -28.00
00314           -1040.00      -24.00
00315           -1120.00      -16.00
00316           -1120.00      -24.00
00317           -1120.00      -20.00
00318           -1160.00      -16.00
00319           -1160.00      -16.00
00320           -1160.00      -16.00
00321           -1160.00      -20.00
00322           -1080.00      -20.00
00323            -960.00      -16.00
00324            -880.00      -20.00
00325            -720.00      -24.00
00326            -560.00      -24.00
00327            -400.00      -20.00
00328            -240.00      -20.00
00329             -80.00      -20.00
00330              80.00      -24.00
00331             280.00      -16.00
00332             400.00      -16.00
00333             520.00      -20.00
00334             640.00      -24.00
00335             680.00      -24.00
00336             800.00      -20.00
00337             800.00      -20.00
00338             880.00      -16.00
00339             880.00      -20.00
00340             880.00      -20.00
00341             880.00      -12.00
00342             840.00      -16.00
00343             760.00      -16.00
00344             720.00      -16.00
00345             640.00      -16.00
00346             600.00      -24.00
00347             560.00      -20.00
00348             520.00      -16.00
00349             520.00      -16.00
00350             480.00      -20.00
00351             440.00      -20.00
00352             400.00      -16.00
00353             360.00      -20.00
00354             320.00      -20.00
00355             280.00      -20.00
00356             200.00      -16.00
00357             160.00      -20.00
00358              40.00      -20.00
00359             -40.00      -20.00
00360            -120.00      -20.00
00361            -200.00      -16.00
00362            -280.00      -16.00
00363            -360.00      -20.00
00364            -440.00      -20.00
00365            -480.00      -16.00
00366            -520.00      -16.00
00367            -520.00      -20.00
00368            -480.00      -20.00
00369            -400.00      -16.00
00370            -320.00      -24.00
00371            -200.00      -20.00
00372             -80.00      -16.00
00373               0.00      -20.00
00374              80.00      -16.00
00375             160.00      -16.00
00376             200.00      -20.00
00377             200.00      -20.00
00378             200.00      -20.00
00379             240.00      -24.00
00380             280.00      -16.00
00381             320.00      -20.00
00382             320.00      -20.00
00383             320.00      -20.00
00384             320.00      -24.00
00385             280.00      -20.00
00386             240.00      -16.00
00387             160.00      -16.00
00388             120.00      -16.00
00389              80.00      -16.00
00390              40.00      -24.00
00391              40.00      -20.00
00392              40.00      -20.00
00393               0.00      -20.00
00394             -40.00      -20.00
00395             -40.00      -20.00
00396            -120.00      -20.00
00397            -160.00      -16.00
00398            -200.00      -16.00
00399            -280.00      -20.00
00400            -360.00      -20.00
00401            -400.00      -24.00
00402            -440.00      -24.00
00403            -440.00      -16.00
00404            -440.00      -16.00
00405            -480.00      -16.00
00406            -480.00      -20.00
00407            -480.00      -20.00
00408            -520.00      -16.00
00409            -520.00      -16.00
00410            -400.00      -16.00
00411            -360.00      -20.00
00412            -280.00      -20.00
00413            -160.00      -16.00
00414               0.00      -16.00
00415              40.00      -20.00
00416             200.00      -20.00
00417             240.00      -20.00
00418             280.00      -16.00
00419             320.00      -16.00
00420             360.00      -24.00
00421             440.00      -20.00
00422             480.00      -20.00
00423             520.00      -20.00
00424             560.00      -20.00
00425             560.00      -16.00
00426             600.00      -16.00
00427             600.00      -24.00
00428             600.00      -16.00
00429             560.00      -20.00
00430             520.00      -20.00
00431             520.00      -16.00
00432             520.00      -20.00
00433             520.00      -20.00
00434             520.00      -16.00
00435             520.00      -20.00
00436             520.00      -16.00
00437             560.00      -16.00
00438             560.00      -20.00
00439             520.00      -20.00
00440             520.00      -12.00
00441             480.00      -20.00
00442             400.00      -20.00
00443             360.00      -20.00
00444             240.00      -20.00
00445             160.00      -12.00
00446               0.00      -20.00
00447            -120.00      -20.00
00448            -240.00      -20.00
00449            -400.00      -16.00
00450            -520.00      -20.00
00451            -600.00      -20.00
00452            -600.00      -16.00
00453            -600.00      -12.00
00454            -520.00      -12.00
00455            -440.00      -20.00
00456            -360.00      -12.00
00457            -240.00      -12.00
00458            -160.00      -20.00
00459             -80.00      -20.00
00460               0.00      -20.00
00461             120.00      -12.00
00462             160.00      -20.00
00463             160.00      -20.00
00464             200.00      -20.00
00465             240.00      -20.00
00466             280.00      -16.00
00467             320.00      -16.00
00468             360.00      -20.00
00469             320.00      -16.00
00470             240.00      -24.00
00471             160.00      -20.00
00472              80.00      -16.00
00473              40.00      -20.00
00474               0.00      -16.00
00475               0.00       -8.00
00476             -40.00      -16.00
00477             -40.00      -12.00
00478               0.00      -20.00
00479               0.00      -20.00
00480              40.00      -20.00
00481             120.00      -20.00
00482             120.00      -20.00
00483             200.00      -12.00
00484             200.00      -20.00
00485             200.00      -20.00
00486             200.00      -20.00
00487             200.00      -24.00
00488             200.00      -20.00
00489             200.00      -16.00
00490             160.00      -20.00
00491             120.00      -20.00
00492             120.00      -20.00
00493              80.00      -16.00
00494              40.00      -12.00
00495              80.00      -20.00
00496              40.00      -16.00
00497              40.00      -20.00
00498               0.00      -16.00
00499              40.00      -12.00
00500              40.00      -16.00
00501              40.00      -16.00
00502              80.00      -16.00
00503              40.00      -16.00
00504              40.00      -20.00
00505              40.00      -20.00
00506               0.00      -16.00
00507             -40.00      -24.00
00508            -120.00      -16.00
00509            -200.00      -20.00
00510            -280.00      -20.00
00511            -240.00      500.00
00512            -280.00      500.00
00513            -320.00      500.00
00514            -360.00      -28.00
00515            -400.00      -36.00
00516            -400.00      -40.00
00517            -440.00      -32.00
00518            -400.00      -28.00
00519            -360.00      -32.00
00520            -280.00      -36.00
00521            -200.00      -28.00
00522            -160.00      -28.00
00523             -40.00      -32.00
00524               0.00      -40.00
00525              80.00      -28.00
00526             120.00      -32.00
00527             200.00      -32.00
00528             240.00      -36.00
00529             320.00      -28.00
00530             320.00      -24.00
00531             400.00      -32.00
00532             400.00      -28.00
00533             440.00      -24.00
00534             520.00      -28.00
00535             480.00      -24.00
00536             560.00      -24.00
00537             560.00      -24.00
00538             560.00      -24.00
00539             600.00      -24.00
00540             560.00      -24.00
00541             520.00      -20.00
00542             520.00      -24.00
00543             480.00      -24.00
00544             440.00      -16.00
00545             400.00      -20.00
00546             320.00      -24.00
00547             280.00      -20.00
00548             200.00      -20.00
00549             120.00      -16.00
00550               0.00      -24.00
00551             -80.00      -20.00
00552            -200.00      -28.00
00553            -280.00      -16.00
00554            -400.00      -20.00
00555            -480.00      -20.00
00556            -560.00      -20.00
00557            -640.00      -24.00
00558            -720.00      -28.00
00559            -720.00      -20.00
00560            -840.00      -16.00
00561            -880.00      -16.00
00562            -960.00      -16.00
00563           -1000.00      -20.00
00564           -1040.00      -20.00
00565           -1080.00      -20.00
00566           -1120.00      -24.00
00567           -1120.00      -16.00
00568           -1160.00      -16.00
00569           -1160.00      -16.00
00570           -1160.00      -20.00
00571           -1120.00      -16.00
00572           -1040.00      -20.00
00573            -960.00      -16.00
00574            -880.00      -20.00
00575            -720.00      -16.00
00576            -560.00      -20.00
00577            -400.00      -20.00
00578            -200.00      -16.00
00579             -40.00      -16.00
00580             120.00      -16.00
00581             240.00      -12.00
00582             400.00      -16.00
00583             520.00      -16.00
00584             600.00      -12.00
00585             680.00      -16.00
00586             760.00      -16.00
00587             840.00      -20.00
00588             880.00      -12.00
00589             880.00      -20.00
00590             880.00      -16.00
00591             880.00      -12.00
00592             840.00      -16.00
00593             800.00      -16.00
00594             680.00      -20.00
00595             640.00      -16.00
00596             600.00      -24.00
00597             520.00      -16.00
