Unit:(mV)
                     CH1         CH2
Frequency              ?  999.988 Hz
Period                 ?    1.000 ms
00001             260.00        0.00
00002             260.00        0.00
00003             220.00       20.00
00004             280.00        0.00
00005             320.00        0.00
00006             260.00        0.00
00007             340.00        0.00
00008             260.00        0.00
00009             240.00        0.00
00010             260.00     1960.00
00011            -120.00     1960.00
00012            -140.00     1960.00
00013            -140.00     1980.00
00014            -140.00     1960.00
00015            -140.00     1960.00
00016            -140.00     1960.00
00017            -140.00     1980.00
00018            -160.00     1980.00
00019            -120.00     1960.00
00020            -120.00     1960.00
00021            -140.00     1960.00
00022            -140.00     1960.00
00023            -120.00      -20.00
00024            -120.00      -20.00
00025            -140.00        0.00
00026            -120.00      -20.00
00027            -100.00        0.00
00028            -140.00      -20.00
00029            -120.00      -20.00
00030            -120.00      -20.00
00031            -100.00        0.00
00032            -120.00      -20.00
00033            -100.00      -20.00
00034            -120.00      -20.00
00035             -80.00      -20.00
00036             -80.00      -20.00
00037            -100.00      -20.00
00038             -80.00      -20.00
00039             -60.00      -20.00
00040            -100.00        0.00
00041            -100.00      -20.00
00042             -80.00      -40.00
00043             -80.00      -20.00
00044             -60.00      -20.00
00045             -60.00      -20.00
00046             -80.00      -20.00
00047            -100.00      -20.00
00048             -60.00        0.00
00049             -60.00      -20.00
00050             -60.00      -20.00
00051             -80.00        0.00
00052             -80.00      -20.00
00053            -100.00        0.00
00054             -60.00      -20.00
00055             -40.00      -20.00
00056             -40.00      -20.00
00057             -60.00        0.00
00058             -40.00        0.00
00059             -60.00        0.00
00060             -20.00      -20.00
00061             -40.00      -20.00
00062             -40.00        0.00
00063             -60.00      -20.00
00064             -20.00      -20.00
00065             -40.00      -20.00
00066             -20.00      -20.00
00067             -20.00      -20.00
00068             -40.00        0.00
00069             -20.00      -20.00
00070             -40.00        0.00
00071             -40.00      -20.00
00072             -40.00        0.00
00073              20.00      -20.00
00074               0.00        0.00
00075             -20.00      -20.00
00076             -20.00      -20.00
00077               0.00      -20.00
00078             -20.00      -20.00
00079              20.00      -20.00
00080              20.00      -20.00
00081               0.00      -20.00
00082             -20.00      -20.00
00083               0.00      -20.00
00084              20.00      -20.00
00085              20.00        0.00
00086             -20.00        0.00
00087              20.00        0.00
00088              20.00      -20.00
00089              20.00        0.00
00090              20.00      -20.00
00091              40.00      -20.00
00092               0.00      -20.00
00093              40.00        0.00
00094              40.00        0.00
00095              20.00        0.00
00096             -20.00      -20.00
00097              20.00      -20.00
00098              20.00      -20.00
00099              60.00      -20.00
00100              20.00      -20.00
00101              60.00        0.00
00102              40.00      -20.00
00103              40.00        0.00
00104              20.00        0.00
00105             100.00      -20.00
00106              60.00      -20.00
00107              40.00      -20.00
00108              20.00       20.00
00109              20.00        0.00
00110              20.00      -20.00
00111              80.00        0.00
00112             100.00        0.00
00113              20.00      -20.00
00114              80.00      -20.00
00115              40.00      -20.00
00116              60.00      -20.00
00117              80.00      -20.00
00118             120.00      -20.00
00119              80.00      -20.00
00120             100.00      -40.00
00121              40.00      -20.00
00122              80.00        0.00
00123             120.00        0.00
00124              60.00        0.00
00125              40.00      -20.00
00126              80.00      -20.00
00127             100.00      -20.00
00128             100.00      -20.00
00129             120.00      -40.00
00130             120.00        0.00
00131              60.00      -20.00
00132              80.00        0.00
00133             140.00      -20.00
00134              80.00        0.00
00135              80.00      -20.00
00136             160.00        0.00
00137             120.00        0.00
00138             140.00      -20.00
00139             160.00      -20.00
00140             160.00      -20.00
00141              60.00      -20.00
00142             100.00        0.00
00143             120.00        0.00
00144             140.00      -20.00
00145              60.00      -20.00
00146             100.00      -20.00
00147             120.00        0.00
00148             120.00      -20.00
00149             100.00        0.00
00150              60.00        0.00
00151             140.00        0.00
00152             180.00        0.00
00153              80.00      -20.00
00154             120.00      -20.00
00155             200.00      -20.00
00156             120.00      -20.00
00157             120.00      -20.00
00158             120.00        0.00
00159             160.00        0.00
00160             180.00        0.00
00161             120.00        0.00
00162             180.00        0.00
00163             120.00        0.00
00164             180.00        0.00
00165             100.00      -20.00
00166              80.00      -20.00
00167             100.00        0.00
00168              80.00        0.00
00169              80.00      -20.00
00170             180.00        0.00
00171             180.00      -20.00
00172             120.00      -20.00
00173             200.00        0.00
00174             200.00        0.00
00175              80.00        0.00
00176              80.00      -20.00
00177              80.00       20.00
00178              80.00      -20.00
00179             120.00        0.00
00180             220.00        0.00
00181             180.00        0.00
00182             180.00        0.00
00183             120.00      -20.00
00184             240.00        0.00
00185             180.00        0.00
00186             120.00      -20.00
00187             120.00        0.00
00188             180.00      -20.00
00189             260.00        0.00
00190             180.00        0.00
00191             120.00        0.00
00192             280.00        0.00
00193             160.00      -20.00
00194             120.00      -20.00
00195             220.00      -20.00
00196             220.00      -20.00
00197             280.00        0.00
00198             200.00      -20.00
00199             100.00        0.00
00200             220.00      -20.00
00201             220.00        0.00
00202             180.00      -20.00
00203             160.00        0.00
00204             320.00      -20.00
00205             300.00       20.00
00206             260.00        0.00
00207             300.00        0.00
00208             340.00        0.00
00209             240.00        0.00
00210             100.00        0.00
00211             300.00      -20.00
00212             100.00        0.00
00213             280.00        0.00
00214             320.00        0.00
00215             260.00        0.00
00216             220.00        0.00
00217             280.00      -20.00
00218             320.00      -20.00
00219             240.00        0.00
00220             140.00      -20.00
00221             320.00        0.00
00222             120.00        0.00
00223             200.00        0.00
00224             340.00        0.00
00225             360.00        0.00
00226             360.00        0.00
00227             360.00        0.00
00228             280.00        0.00
00229             100.00        0.00
00230             320.00        0.00
00231             160.00      -20.00
00232             360.00        0.00
00233             180.00      -20.00
00234             120.00        0.00
00235             140.00        0.00
00236             140.00      -20.00
00237             100.00        0.00
00238             200.00      -20.00
00239             380.00      -20.00
00240             120.00        0.00
00241             360.00      -20.00
00242             120.00        0.00
00243             200.00        0.00
00244             340.00        0.00
00245             360.00        0.00
00246             360.00      -20.00
00247             320.00        0.00
00248             120.00        0.00
00249             240.00      -20.00
00250             320.00      -20.00
00251             200.00        0.00
00252             160.00        0.00
00253             380.00      -20.00
00254             360.00        0.00
00255             360.00      -20.00
00256             360.00        0.00
00257             380.00        0.00
00258             140.00      -20.00
00259             220.00        0.00
00260             340.00      -20.00
00261             260.00        0.00
00262             160.00        0.00
00263             320.00      -20.00
00264             400.00        0.00
00265             400.00      -20.00
00266             360.00        0.00
00267             240.00        0.00
00268             140.00        0.00
00269             400.00        0.00
00270             140.00      -20.00
00271             400.00        0.00
00272             240.00      -20.00
00273             120.00        0.00
00274             180.00      -20.00
00275             160.00        0.00
00276             120.00        0.00
00277             200.00      -20.00
00278             400.00        0.00
00279             180.00      -20.00
00280             400.00        0.00
00281             120.00        0.00
00282             300.00        0.00
00283             380.00        0.00
00284             400.00      -20.00
00285             400.00        0.00
00286             360.00        0.00
00287             200.00        0.00
00288             200.00        0.00
00289             380.00        0.00
00290             200.00      -20.00
00291             260.00        0.00
00292             400.00      -20.00
00293             360.00        0.00
00294             320.00        0.00
00295             360.00        0.00
00296             380.00      -20.00
00297             280.00      -20.00
