Unit:(mV)
                     CH1         CH2
Frequency              ?   1.220 kHz
Period                 ?  819.672 us
00001            -240.00      -20.00
00002            -280.00      -16.00
00003            -240.00      -20.00
00004            -280.00      -20.00
00005            -280.00      -16.00
00006            -280.00      -16.00
00007            -280.00      -24.00
00008            -280.00      -20.00
00009            -280.00      -16.00
00010            -240.00      -20.00
00011             200.00      500.00
00012             200.00      500.00
00013             200.00      -32.00
00014             200.00      -40.00
00015             200.00      -40.00
00016             200.00      -40.00
00017             200.00      -36.00
00018             200.00      -36.00
00019             240.00      -32.00
00020             200.00      -32.00
00021             200.00      -36.00
00022             200.00      -36.00
00023             200.00      -36.00
00024             200.00      -36.00
00025             200.00      -28.00
00026             200.00      -32.00
00027             200.00      -28.00
00028             200.00      -28.00
00029             200.00      -28.00
00030             200.00      -32.00
00031             200.00      -28.00
00032             200.00      -36.00
00033             200.00      -28.00
00034             200.00      -28.00
00035             240.00      -28.00
00036             160.00      -28.00
00037             200.00      -28.00
00038             200.00      -32.00
00039             160.00      -28.00
00040             200.00      -24.00
00041             160.00      -36.00
00042             200.00      -28.00
00043             200.00      -28.00
00044             200.00      -24.00
00045             200.00      -24.00
00046             160.00      -28.00
00047             160.00      -28.00
00048             160.00      -28.00
00049             160.00      -24.00
00050             160.00      -24.00
00051             200.00      -28.00
00052             200.00      -24.00
00053             200.00      -28.00
00054             160.00      -24.00
00055             160.00      -20.00
00056             200.00      -20.00
00057             160.00      -28.00
00058             160.00      -28.00
00059             200.00      -24.00
00060             160.00      -20.00
00061             160.00      -24.00
00062             160.00      -28.00
00063             160.00      -28.00
00064             160.00      -28.00
00065             160.00      -24.00
00066             160.00      -20.00
00067             160.00      -24.00
00068             160.00      -20.00
00069             160.00      -16.00
00070             160.00      -24.00
00071             160.00      -20.00
00072             120.00      -20.00
00073             120.00      -20.00
00074             120.00      -20.00
00075             120.00      -24.00
00076             120.00      -24.00
00077             160.00      -20.00
00078             120.00      -20.00
00079             160.00      -24.00
00080             160.00      -20.00
00081             160.00      -16.00
00082             160.00      -20.00
00083             160.00      -24.00
00084             160.00      -20.00
00085             120.00      -20.00
00086             120.00      -20.00
00087             120.00      -20.00
00088             120.00      -24.00
00089             120.00      -24.00
00090             120.00      -20.00
00091             120.00      -20.00
00092             120.00      -20.00
00093             120.00      -16.00
00094              80.00      -20.00
00095             120.00      -16.00
00096             160.00      -20.00
00097              80.00      -24.00
00098             120.00      -16.00
00099             120.00      -20.00
00100             120.00      -16.00
00101              80.00      -24.00
