Unit:(mV)
                     CH1         CH2
Frequency              ?   1.232 kHz
Period                 ?  811.688 us
00001            -520.00      -16.00
00002            -520.00      -12.00
00003            -560.00      -12.00
00004            -560.00      -16.00
00005            -560.00      -16.00
00006            -520.00      -16.00
00007            -440.00      -12.00
00008            -400.00      -16.00
00009            -360.00      -12.00
00010            -320.00      -16.00
00011            -240.00      500.00
00012             280.00      500.00
00013             200.00      500.00
00014             120.00      -28.00
00015              40.00      -32.00
00016              40.00      -36.00
00017             -40.00      -32.00
00018             -80.00      -32.00
00019             -40.00      -28.00
00020             -40.00      -36.00
00021               0.00      -28.00
00022              40.00      -32.00
00023              40.00      -32.00
00024              40.00      -24.00
00025               0.00      -32.00
00026               0.00      -28.00
00027             -80.00      -32.00
00028            -160.00      -28.00
00029            -280.00      -28.00
00030            -320.00      -24.00
00031            -280.00      -28.00
00032            -280.00      -24.00
00033            -240.00      -28.00
00034            -240.00      -28.00
00035            -160.00      -24.00
00036             -80.00      -28.00
00037             -40.00      -24.00
00038               0.00      -24.00
00039              40.00      -28.00
00040             120.00      -24.00
00041             120.00      -24.00
00042             160.00      -28.00
00043             200.00      -24.00
00044             240.00      -28.00
00045             240.00      -24.00
00046             240.00      -20.00
00047             200.00      -20.00
00048             120.00      -20.00
00049              40.00      -28.00
00050             -40.00      -24.00
00051            -160.00      -24.00
00052            -240.00      -20.00
00053            -280.00      -20.00
00054            -400.00      -28.00
00055            -480.00      -20.00
00056            -480.00      -24.00
00057            -600.00      -24.00
00058            -640.00      -28.00
00059            -640.00      -20.00
00060            -720.00      -24.00
00061            -720.00      -24.00
00062            -800.00      -20.00
00063            -880.00      -24.00
00064            -920.00      -20.00
00065           -1000.00      -20.00
00066           -1040.00      -20.00
00067           -1120.00      -20.00
00068           -1200.00      -16.00
00069           -1240.00      -20.00
00070           -1240.00      -28.00
00071           -1280.00      -20.00
00072           -1200.00      -24.00
00073           -1080.00      -20.00
00074            -960.00      -20.00
00075            -800.00      -24.00
00076            -600.00      -24.00
00077            -400.00      -16.00
00078            -160.00      -16.00
00079              80.00      -16.00
00080             280.00      -24.00
00081             480.00      -20.00
00082             640.00      -16.00
00083             800.00      -16.00
00084             880.00      -24.00
00085            1000.00      -20.00
00086            1080.00      -16.00
00087            1080.00      -24.00
00088            1160.00      -20.00
00089            1160.00      -16.00
00090            1200.00      -12.00
00091            1160.00      -24.00
00092            1120.00      -20.00
00093            1040.00      -24.00
00094            1000.00      -16.00
00095             880.00      -16.00
00096             840.00      -20.00
00097             840.00      -24.00
00098             800.00      -20.00
00099             840.00      -20.00
00100             840.00      -20.00
00101             920.00      -20.00
00102             920.00      -16.00
00103             920.00      -12.00
00104             880.00      -20.00
00105             800.00      -20.00
00106             720.00      -28.00
00107             600.00      -16.00
00108             440.00      -16.00
00109             280.00      -16.00
00110              40.00      -20.00
00111            -160.00      -20.00
00112            -360.00      -16.00
00113            -520.00      -16.00
00114            -640.00      -20.00
00115            -760.00      -12.00
00116            -880.00      -16.00
00117            -920.00      -20.00
00118            -880.00      -20.00
00119            -800.00      -12.00
00120            -640.00      -20.00
00121            -480.00      -20.00
00122            -200.00      -20.00
00123               0.00      -20.00
00124             120.00      -16.00
00125             280.00      -24.00
00126             360.00      -16.00
00127             440.00      -12.00
00128             520.00      -16.00
00129             560.00      -20.00
00130             640.00      -16.00
00131             680.00      -20.00
00132             760.00      -16.00
00133             760.00      -20.00
00134             760.00      -16.00
00135             720.00      -16.00
00136             680.00      -16.00
00137             600.00      -16.00
00138             520.00      -16.00
00139             440.00      -20.00
00140             360.00      -20.00
00141             320.00      -16.00
00142             320.00      -20.00
00143             360.00      -16.00
00144             400.00      -16.00
00145             440.00      -16.00
00146             400.00      -16.00
00147             400.00      -16.00
00148             280.00      -12.00
00149             160.00      -20.00
00150              40.00      -20.00
00151            -120.00      -24.00
00152            -320.00      -20.00
00153            -440.00      -20.00
00154            -600.00      -16.00
00155            -720.00      -16.00
00156            -840.00      -16.00
00157            -880.00      -16.00
00158            -920.00      -16.00
00159            -920.00      -20.00
00160            -880.00      -20.00
00161            -880.00      -16.00
00162            -840.00      -20.00
00163            -720.00      -20.00
00164            -640.00      -20.00
00165            -560.00      -20.00
00166            -400.00      -20.00
00167            -280.00      -16.00
00168            -200.00      -16.00
00169             -80.00      -16.00
00170              40.00      -16.00
00171              80.00      -16.00
00172             200.00      -16.00
00173             240.00      -20.00
00174             280.00      -16.00
00175             360.00      -16.00
00176             400.00      -20.00
00177             480.00      -16.00
00178             520.00      -20.00
00179             560.00      -16.00
00180             600.00      -16.00
00181             640.00      -16.00
00182             720.00      -20.00
00183             800.00      -20.00
00184             880.00      -16.00
00185             920.00      -12.00
00186            1000.00      -16.00
00187            1080.00      -20.00
00188            1120.00      -16.00
00189            1160.00      -20.00
00190            1200.00      -16.00
00191            1160.00      -16.00
00192            1080.00      -16.00
00193             920.00      -20.00
00194             760.00      -12.00
00195             520.00      -16.00
00196             240.00      -16.00
00197               0.00      -20.00
00198            -240.00      -16.00
00199            -440.00      -20.00
00200            -560.00      -20.00
00201            -640.00      -20.00
00202            -680.00      -20.00
00203            -640.00      -12.00
00204            -560.00      -16.00
00205            -480.00      -16.00
00206            -400.00      -20.00
00207            -320.00      -20.00
00208            -280.00      -16.00
00209            -200.00      -16.00
00210            -160.00      -12.00
00211            -120.00      -12.00
00212             -80.00      -24.00
00213             -40.00      -16.00
00214             -40.00      -20.00
00215             -40.00      -20.00
00216             -40.00      -16.00
00217               0.00      -20.00
00218             -40.00      -16.00
00219             -40.00      -16.00
00220               0.00      -20.00
00221               0.00      -16.00
00222               0.00      -20.00
00223              40.00      -16.00
00224              80.00      -12.00
00225             160.00      -24.00
00226             240.00      -20.00
00227             320.00      -16.00
00228             320.00      -20.00
00229             360.00      -24.00
00230             400.00      -20.00
00231             440.00      -20.00
00232             440.00      -16.00
00233             480.00      -20.00
00234             520.00      -16.00
00235             480.00      -16.00
00236             440.00      -20.00
00237             360.00      -16.00
00238             280.00      -16.00
00239             200.00      -16.00
00240               0.00      -16.00
00241            -120.00      -20.00
00242            -280.00      -16.00
00243            -360.00      -16.00
00244            -480.00      -16.00
00245            -480.00      -20.00
00246            -520.00      -12.00
00247            -520.00      -20.00
00248            -560.00      -24.00
00249            -560.00      -20.00
00250            -560.00      -16.00
00251            -560.00      -12.00
00252            -560.00      -20.00
00253            -560.00      -20.00
00254            -560.00      -16.00
00255            -520.00      -20.00
00256            -520.00      -20.00
00257            -480.00      -16.00
00258            -400.00      -12.00
00259            -360.00      -16.00
00260            -280.00      -20.00
00261            -240.00      500.00
00262             240.00      500.00
00263             200.00      500.00
00264             120.00      -28.00
00265              40.00      -36.00
00266               0.00      -32.00
00267               0.00      -32.00
00268             -40.00      -32.00
00269             -40.00      -40.00
00270               0.00      -32.00
00271               0.00      -28.00
00272              40.00      -32.00
00273              40.00      -32.00
00274              40.00      -28.00
00275               0.00      -28.00
00276             -40.00      -32.00
00277             -80.00      -28.00
00278            -160.00      -28.00
00279            -240.00      -28.00
00280            -280.00      -28.00
00281            -320.00      -24.00
00282            -280.00      -28.00
00283            -240.00      -28.00
00284            -200.00      -24.00
00285            -160.00      -28.00
00286            -120.00      -28.00
00287             -40.00      -28.00
00288               0.00      -24.00
00289              40.00      -28.00
00290             120.00      -24.00
00291             160.00      -20.00
00292             160.00      -24.00
00293             200.00      -24.00
00294             240.00      -28.00
00295             240.00      -24.00
00296             240.00      -20.00
00297             200.00      -24.00
00298             120.00      -24.00
00299              40.00      -20.00
00300             -40.00      -16.00
00301            -120.00      -20.00
00302            -200.00      -20.00
00303            -320.00      -16.00
00304            -400.00      -24.00
00305            -480.00      -20.00
00306            -520.00      -16.00
00307            -560.00      -24.00
00308            -600.00      -24.00
00309            -640.00      -16.00
00310            -720.00      -16.00
00311            -760.00      -20.00
00312            -760.00      -16.00
00313            -840.00      -20.00
00314            -920.00      -16.00
00315           -1000.00      -20.00
00316           -1040.00      -16.00
00317           -1120.00      -20.00
00318           -1200.00      -16.00
00319           -1200.00      -20.00
00320           -1240.00      -20.00
00321           -1240.00      -20.00
00322           -1200.00      -20.00
00323           -1120.00      -16.00
00324           -1000.00      -20.00
00325            -840.00      -20.00
00326            -600.00      -20.00
00327            -400.00      -16.00
00328            -160.00      -16.00
00329              80.00      -16.00
00330             280.00      -16.00
00331             480.00      -16.00
00332             640.00      -24.00
00333             800.00      -20.00
00334             880.00      -20.00
00335             960.00      -12.00
00336            1040.00      -20.00
00337            1120.00      -16.00
00338            1160.00      -12.00
00339            1160.00      -12.00
00340            1160.00      -16.00
00341            1160.00      -16.00
00342            1120.00      -12.00
00343            1040.00      -16.00
00344            1000.00      -12.00
00345             920.00      -20.00
00346             840.00      -20.00
00347             800.00      -12.00
00348             800.00      -16.00
00349             840.00      -16.00
00350             880.00      -16.00
00351             920.00      -16.00
00352             920.00      -12.00
00353             880.00      -20.00
00354             880.00      -16.00
00355             800.00      -16.00
00356             680.00      -20.00
00357             560.00      -16.00
00358             440.00      -16.00
00359             280.00      -12.00
00360              40.00      -16.00
00361            -160.00      -20.00
00362            -360.00      -12.00
00363            -480.00      -12.00
00364            -680.00      -12.00
00365            -760.00      -16.00
00366            -920.00      -16.00
00367            -920.00      -16.00
00368            -920.00      -12.00
00369            -800.00      -16.00
00370            -640.00      -16.00
00371            -480.00      -16.00
00372            -240.00      -12.00
00373             -40.00      -12.00
00374             160.00       -8.00
00375             280.00      -20.00
00376             360.00      -20.00
00377             440.00      -16.00
00378             520.00      -12.00
00379             560.00      -16.00
00380             640.00      -16.00
00381             680.00      -16.00
00382             760.00      -12.00
00383             760.00      -20.00
00384             760.00      -16.00
00385             760.00      -16.00
00386             680.00      -16.00
00387             600.00      -12.00
00388             520.00      -12.00
00389             440.00      -20.00
00390             360.00      -16.00
00391             320.00      -16.00
00392             320.00      -16.00
00393             360.00      -16.00
00394             400.00      -16.00
00395             400.00      -12.00
00396             400.00      -16.00
00397             360.00      -16.00
00398             280.00      -12.00
00399             160.00      -12.00
00400               0.00      -16.00
00401            -120.00      -16.00
00402            -280.00      -20.00
00403            -440.00      -20.00
00404            -600.00      -12.00
00405            -720.00      -20.00
00406            -800.00      -12.00
00407            -920.00      -16.00
00408            -920.00      -16.00
00409            -920.00      -32.00
00410            -880.00      -16.00
00411            -880.00      -16.00
00412            -800.00      -16.00
00413            -760.00      -20.00
00414            -600.00      -16.00
00415            -520.00      -16.00
00416            -400.00      -12.00
00417            -280.00      -20.00
00418            -200.00      -20.00
00419             -80.00      -16.00
00420              40.00      -20.00
00421              80.00      -20.00
00422             200.00      -16.00
00423             240.00      -16.00
00424             280.00      -16.00
00425             360.00      -20.00
00426             360.00      -16.00
00427             480.00      -20.00
00428             520.00      -16.00
00429             560.00      -20.00
00430             600.00      -16.00
00431             600.00      -16.00
00432             680.00      -16.00
00433             760.00      -20.00
00434             880.00      -16.00
00435             920.00      -20.00
00436            1000.00      -16.00
00437            1080.00      -24.00
00438            1160.00      -16.00
