Unit:(mV)
                     CH1         CH2
Frequency              ?   1.232 kHz
Period                 ?  811.688 us
00001            -640.00      -20.00
00002            -640.00      -20.00
00003            -680.00      -20.00
00004            -640.00      -20.00
00005            -600.00      -16.00
00006            -560.00      -20.00
00007            -480.00      -16.00
00008            -440.00      -20.00
00009            -440.00      -16.00
00010            -400.00      -16.00
00011             360.00      500.00
00012             320.00      500.00
00013             280.00      -36.00
00014             240.00      -36.00
00015             160.00      -36.00
00016             160.00      -36.00
00017              80.00      -40.00
00018              80.00      -32.00
00019              80.00      -36.00
00020              80.00      -28.00
00021              40.00      -32.00
00022              40.00      -32.00
00023              40.00      -28.00
00024               0.00      -36.00
00025             -80.00      -28.00
00026            -160.00      -28.00
00027            -240.00      -32.00
00028            -280.00      -28.00
00029            -320.00      -28.00
00030            -320.00      -28.00
00031            -360.00      -24.00
00032            -320.00      -32.00
00033            -280.00      -28.00
00034            -160.00      -32.00
00035            -120.00      -28.00
00036             -80.00      -28.00
00037              40.00      -28.00
00038              40.00      -24.00
00039             120.00      -24.00
00040             160.00      -24.00
00041             160.00      -24.00
00042             200.00      -28.00
00043             200.00      -28.00
00044             240.00      -28.00
00045             240.00      -24.00
00046             160.00      -24.00
00047              80.00      -20.00
00048              40.00      -24.00
00049             -40.00      -24.00
00050            -120.00      -24.00
00051            -160.00      -24.00
00052            -280.00      -24.00
00053            -320.00      -24.00
00054            -360.00      -24.00
00055            -360.00      -24.00
00056            -440.00      -24.00
00057            -480.00      -16.00
00058            -480.00      -24.00
00059            -520.00      -24.00
00060            -600.00      -16.00
00061            -680.00      -16.00
00062            -720.00      -20.00
00063            -840.00      -20.00
00064            -920.00      -24.00
00065           -1000.00      -24.00
00066           -1080.00      -24.00
00067           -1200.00      -20.00
00068           -1240.00      -16.00
00069           -1280.00      -20.00
00070           -1320.00      -24.00
00071           -1280.00      -16.00
00072           -1200.00      -20.00
00073           -1120.00      -24.00
00074            -920.00      -24.00
00075            -720.00      -20.00
00076            -480.00      -16.00
00077            -280.00      -24.00
00078             -80.00      -20.00
00079             160.00      -28.00
00080             360.00      -20.00
00081             520.00      -16.00
00082             680.00      -20.00
00083             800.00      -20.00
00084             840.00      -16.00
00085            1000.00      -20.00
00086            1040.00      -16.00
00087            1040.00      -16.00
00088            1040.00      -20.00
00089            1080.00      -12.00
00090            1120.00      -20.00
00091            1080.00      -20.00
00092            1040.00      -20.00
00093            1000.00      -16.00
00094             960.00      -16.00
00095             880.00      -16.00
00096             880.00      -20.00
00097             880.00      -16.00
00098             920.00      -16.00
00099             960.00      -20.00
00100            1000.00      -20.00
00101            1040.00      -20.00
00102            1000.00      -16.00
00103            1000.00      -16.00
00104             920.00      -16.00
00105             840.00      -16.00
00106             720.00      -20.00
00107             560.00      -12.00
00108             400.00      -16.00
00109             120.00      -16.00
00110             -80.00      -16.00
00111            -240.00      -16.00
00112            -440.00      -16.00
00113            -600.00      -16.00
00114            -720.00      -16.00
00115            -800.00      -20.00
00116            -920.00      -20.00
00117            -920.00      -20.00
00118            -880.00      -12.00
00119            -760.00      -24.00
00120            -600.00      -16.00
00121            -400.00      -20.00
00122            -240.00      -20.00
00123             -40.00      -16.00
00124              80.00      -20.00
00125             160.00      -16.00
00126             240.00      -16.00
00127             320.00      -16.00
00128             400.00      -16.00
00129             480.00      -20.00
00130             560.00      -12.00
00131             600.00      -20.00
00132             600.00      -12.00
00133             640.00      -16.00
00134             640.00      -16.00
00135             560.00      -16.00
00136             560.00      -20.00
00137             480.00      -16.00
00138             400.00      -16.00
00139             320.00      -20.00
00140             280.00      -20.00
00141             320.00      -16.00
00142             280.00      -16.00
00143             320.00      -12.00
00144             400.00      -20.00
00145             400.00      -16.00
00146             360.00      -20.00
00147             280.00      -16.00
00148             200.00      -16.00
00149              80.00      -12.00
00150             -80.00      -16.00
00151            -240.00      -12.00
00152            -400.00      -12.00
00153            -520.00      -16.00
00154            -640.00      -16.00
00155            -760.00      -12.00
00156            -880.00      -12.00
00157            -920.00      -16.00
00158            -920.00      -12.00
00159            -960.00      -16.00
00160            -920.00      -16.00
00161            -880.00      -16.00
00162            -840.00      -16.00
00163            -760.00      -16.00
00164            -640.00      -16.00
00165            -480.00      -16.00
00166            -400.00      -12.00
00167            -240.00      -16.00
00168            -160.00      -16.00
00169               0.00      -16.00
00170             120.00      -12.00
00171             160.00      -12.00
00172             280.00      -16.00
00173             360.00      -12.00
00174             400.00      -12.00
00175             440.00      -16.00
00176             560.00      -12.00
00177             600.00      -16.00
00178             640.00      -16.00
00179             720.00      -16.00
00180             800.00      -12.00
00181             840.00      -12.00
00182             880.00      -20.00
00183            1000.00      -16.00
00184            1080.00      -16.00
00185            1120.00      -12.00
00186            1200.00      -16.00
00187            1240.00      -12.00
00188            1280.00      -16.00
00189            1280.00      -16.00
00190            1280.00       -8.00
00191            1240.00      -12.00
00192            1120.00       -8.00
00193             920.00      -16.00
00194             720.00      -12.00
00195             480.00      -12.00
00196             160.00      -20.00
00197             -80.00      -16.00
00198            -320.00      -12.00
00199            -520.00      -12.00
00200            -640.00      -12.00
00201            -680.00      -12.00
00202            -720.00      -16.00
00203            -640.00      -12.00
00204            -560.00      -16.00
00205            -560.00      -12.00
00206            -480.00      -16.00
00207            -480.00      -16.00
00208            -400.00      -12.00
00209            -320.00      -16.00
00210            -240.00      -12.00
00211            -160.00      -12.00
00212            -160.00      -12.00
00213             -80.00      -12.00
00214             -80.00      -16.00
00215             -80.00      -12.00
00216             -80.00      -12.00
00217             -80.00      -16.00
00218             -80.00      -16.00
00219             -40.00      -12.00
00220             -80.00      -12.00
00221             -40.00      -24.00
00222               0.00      -12.00
00223              40.00      -16.00
00224              80.00      -16.00
00225             160.00      -12.00
00226             240.00       -8.00
00227             280.00      -12.00
00228             320.00      -12.00
00229             360.00      -16.00
00230             400.00      -16.00
00231             440.00      -12.00
00232             480.00      -12.00
00233             560.00      -12.00
00234             560.00      -12.00
00235             560.00      -16.00
00236             520.00      -16.00
00237             400.00      -16.00
00238             360.00       -8.00
00239             200.00       -4.00
00240              40.00      -12.00
00241            -160.00      -20.00
00242            -280.00      -16.00
00243            -400.00      -12.00
00244            -440.00      -12.00
00245            -520.00      -16.00
00246            -560.00      -16.00
00247            -560.00       -8.00
00248            -640.00      -16.00
00249            -640.00      -16.00
00250            -640.00      -16.00
00251            -640.00      -16.00
00252            -640.00      -20.00
00253            -640.00      -12.00
00254            -640.00      -16.00
00255            -600.00      -16.00
00256            -560.00      -20.00
00257            -480.00      -12.00
00258            -480.00      -16.00
00259            -440.00      -12.00
00260            -360.00      -20.00
00261             360.00      500.00
00262             320.00      500.00
00263             280.00      -28.00
00264             200.00      -36.00
00265             200.00      -36.00
00266             120.00      -36.00
00267              80.00      -36.00
00268              80.00      -36.00
00269              40.00      -36.00
00270              80.00      -32.00
00271              80.00      -32.00
00272              40.00      -28.00
00273               0.00      -28.00
00274               0.00      -28.00
00275             -80.00      -36.00
00276            -120.00      -28.00
00277            -240.00      -32.00
00278            -320.00      -24.00
00279            -320.00      -28.00
00280            -360.00      -32.00
00281            -320.00      -24.00
00282            -280.00      -24.00
00283            -240.00      -28.00
00284            -160.00      -28.00
00285            -120.00      -32.00
00286             -80.00      -24.00
00287               0.00      -28.00
00288              40.00      -24.00
00289             120.00      -28.00
00290              80.00      -28.00
00291             160.00      -24.00
00292             200.00      -24.00
00293             200.00      -24.00
00294             200.00      -28.00
00295             200.00      -32.00
00296             200.00      -20.00
00297              80.00      -24.00
00298              40.00      -28.00
00299               0.00      -28.00
00300            -120.00      -24.00
00301            -200.00      -24.00
00302            -240.00      -24.00
00303            -320.00      -28.00
00304            -360.00      -28.00
00305            -400.00      -20.00
00306            -440.00      -24.00
00307            -480.00      -24.00
00308            -480.00      -20.00
00309            -560.00      -20.00
00310            -600.00      -24.00
00311            -680.00      -24.00
00312            -720.00      -24.00
00313            -800.00      -24.00
00314            -880.00      -24.00
00315           -1000.00      -20.00
00316           -1120.00      -24.00
00317           -1200.00      -24.00
00318           -1240.00      -20.00
00319           -1280.00      -24.00
00320           -1280.00      -20.00
00321           -1280.00      -24.00
00322           -1200.00      -24.00
00323           -1080.00      -24.00
00324            -920.00      -20.00
00325            -760.00      -16.00
00326            -520.00      -20.00
00327            -320.00      -20.00
00328             -40.00      -24.00
00329             160.00      -20.00
00330             360.00      -20.00
00331             560.00      -20.00
00332             640.00      -24.00
00333             760.00      -20.00
00334             840.00      -20.00
00335             960.00      -16.00
00336            1000.00      -20.00
00337            1040.00      -16.00
00338            1080.00      -20.00
00339            1080.00      -20.00
00340            1120.00      -20.00
00341            1080.00      -20.00
00342            1040.00      -20.00
00343            1000.00      -20.00
00344             920.00      -16.00
00345             880.00      -16.00
00346             880.00      -16.00
00347             880.00      -12.00
00348             880.00      -20.00
00349             920.00      -20.00
00350            1000.00        4.00
00351            1040.00      -20.00
00352            1000.00      -16.00
00353             960.00      -16.00
00354             920.00      -20.00
00355             840.00      -16.00
00356             680.00      -24.00
00357             560.00      -20.00
00358             360.00      -16.00
00359             160.00      -20.00
00360             -80.00      -16.00
00361            -280.00      -20.00
00362            -440.00      -20.00
00363            -600.00      -16.00
00364            -720.00      -12.00
00365            -840.00      -20.00
00366            -920.00      -20.00
00367            -960.00      -16.00
00368            -880.00      -20.00
00369            -760.00      -20.00
00370            -600.00      -16.00
00371            -400.00      -20.00
00372            -200.00      -20.00
00373             -40.00      -16.00
00374              80.00      -20.00
00375             200.00      -16.00
00376             240.00      -16.00
00377             320.00      -16.00
00378             400.00      -16.00
00379             480.00      -16.00
00380             560.00      -20.00
00381             600.00      -16.00
00382             640.00      -16.00
00383             640.00      -24.00
00384             640.00      -16.00
00385             560.00      -12.00
00386             560.00      -16.00
00387             440.00      -20.00
00388             400.00      -20.00
00389             360.00      -20.00
00390             280.00      -20.00
00391             320.00      -12.00
00392             320.00      -16.00
00393             360.00      -20.00
00394             400.00      -16.00
00395             400.00      -16.00
00396             360.00      -16.00
00397             280.00      -20.00
00398             200.00      -16.00
00399              80.00      -16.00
00400             -80.00      -20.00
00401            -240.00      -16.00
00402            -360.00      -12.00
00403            -520.00      -20.00
00404            -640.00      -16.00
00405            -760.00      -20.00
00406            -880.00      -16.00
00407            -920.00      -16.00
00408            -920.00      -16.00
00409            -920.00      -16.00
00410            -920.00      -16.00
00411            -880.00      -12.00
00412            -840.00      -16.00
00413            -760.00      -16.00
00414            -640.00      -12.00
00415            -520.00      -16.00
00416            -400.00      -16.00
00417            -280.00      -20.00
00418            -160.00      -12.00
00419             -40.00      -16.00
00420              80.00      -16.00
00421             160.00      -12.00
00422             240.00      -20.00
00423             320.00      -16.00
00424             360.00      -12.00
00425             480.00      -16.00
00426             560.00      -12.00
00427             600.00      -16.00
00428             680.00      -16.00
00429             720.00      -16.00
00430             760.00      -12.00
00431             840.00      -20.00
00432             920.00      -16.00
00433            1000.00      -16.00
00434            1080.00      -20.00
00435            1120.00      -16.00
00436            1200.00      -20.00
00437            1280.00      -12.00
