Unit:(mV)
                     CH1         CH2
Frequency              ?   1.226 kHz
Period                 ?  815.661 us
00001              80.00      -20.00
00002              80.00      -20.00
00003             120.00      -24.00
00004              80.00      -20.00
00005              80.00      -24.00
00006              80.00      -16.00
00007              40.00      -24.00
00008              40.00      -24.00
00009              40.00      -20.00
00010              80.00      -16.00
00011              40.00      500.00
00012            -560.00      500.00
00013            -560.00      500.00
00014            -520.00      -36.00
00015            -520.00      -36.00
00016            -520.00      -44.00
00017            -560.00      -36.00
00018            -520.00      -36.00
00019            -520.00      -36.00
00020            -480.00      -28.00
00021            -520.00      -32.00
00022            -520.00      -36.00
00023            -520.00      -36.00
00024            -480.00      -32.00
00025            -480.00      -32.00
00026            -480.00      -36.00
00027            -440.00      -36.00
00028            -440.00      -32.00
00029            -440.00      -32.00
00030            -440.00      -28.00
00031            -440.00      -32.00
00032            -440.00      -36.00
00033            -440.00      -36.00
00034            -400.00      -36.00
00035            -400.00      -32.00
00036            -400.00      -32.00
00037            -400.00      -24.00
00038            -400.00      -28.00
00039            -400.00      -24.00
00040            -360.00      -28.00
00041            -400.00      -28.00
00042            -400.00      -24.00
00043            -360.00      -28.00
00044            -360.00      -24.00
00045            -360.00      -28.00
00046            -360.00      -28.00
00047            -360.00      -24.00
00048            -280.00      -28.00
00049            -320.00      -20.00
00050            -320.00      -24.00
00051            -320.00      -28.00
00052            -280.00      -24.00
00053            -280.00      -20.00
00054            -280.00      -24.00
00055            -240.00      -28.00
00056            -280.00      -28.00
00057            -280.00      -20.00
00058            -280.00      -24.00
00059            -240.00      -20.00
00060            -240.00      -28.00
00061            -240.00      -20.00
00062            -240.00      -20.00
00063            -240.00      -24.00
00064            -200.00      -24.00
00065            -240.00      -28.00
00066            -200.00      -24.00
00067            -200.00      -20.00
00068            -160.00        0.00
00069            -160.00      -20.00
00070            -160.00      -28.00
00071            -160.00      -20.00
00072            -160.00      -24.00
00073            -160.00      -20.00
00074            -160.00      -20.00
00075            -120.00      -20.00
00076            -120.00      -24.00
00077            -120.00      -20.00
00078            -120.00      -24.00
00079            -120.00      -20.00
00080            -120.00      -20.00
00081            -120.00      -20.00
00082             -80.00      -24.00
00083             -80.00      -20.00
00084             -80.00      -24.00
00085             -80.00      -16.00
00086             -40.00      -16.00
00087             -40.00      -20.00
00088             -40.00      -20.00
00089             -40.00      -16.00
00090             -40.00      -24.00
00091             -40.00      -20.00
00092               0.00      -20.00
00093               0.00      -20.00
00094               0.00      -24.00
00095               0.00      -20.00
00096               0.00      -12.00
00097               0.00      -20.00
00098               0.00      -24.00
00099              40.00      -20.00
00100              40.00      -20.00
00101              40.00      -20.00
00102              40.00      -20.00
00103              40.00      -20.00
00104              40.00      -20.00
00105              40.00      -20.00
00106              40.00      -20.00
00107              80.00      -20.00
00108              80.00      -24.00
00109              80.00      -20.00
00110              80.00      -16.00
00111             120.00      -16.00
00112             120.00      -24.00
00113             120.00      -24.00
00114             120.00      -16.00
00115             120.00      -20.00
00116             120.00      -16.00
00117             160.00      -20.00
00118             160.00      -20.00
00119             200.00      -20.00
00120             160.00      -16.00
00121             160.00      -20.00
00122             200.00      -24.00
00123             200.00      -16.00
00124             160.00      -16.00
00125             200.00      -20.00
00126             200.00      -20.00
00127             200.00      -16.00
00128             200.00      -16.00
00129             200.00      -16.00
00130             200.00      -16.00
00131             200.00      -20.00
00132             200.00      -16.00
00133             240.00      -12.00
00134             240.00      -16.00
00135             200.00      -20.00
00136             240.00      -20.00
00137             240.00      -24.00
00138             240.00      -16.00
00139             240.00      -20.00
00140             240.00      -20.00
00141             240.00       -8.00
00142             240.00      -12.00
00143             280.00      -12.00
00144             240.00      -20.00
00145             240.00      -16.00
00146             240.00      -20.00
00147             240.00      -16.00
00148             240.00      -16.00
00149             240.00      -20.00
00150             240.00      -16.00
00151             240.00      -20.00
00152             280.00      -12.00
00153             280.00      -16.00
00154             280.00      -20.00
00155             280.00      -16.00
00156             240.00      -20.00
00157             280.00      -20.00
00158             280.00      -20.00
00159             280.00      -16.00
00160             240.00      -16.00
00161             280.00      -16.00
00162             280.00      -16.00
00163             320.00      -16.00
00164             240.00      -16.00
00165             280.00      -16.00
00166             280.00      -20.00
00167             240.00      -20.00
00168             280.00      -20.00
00169             280.00      -16.00
00170             280.00      -12.00
00171             280.00      -16.00
00172             280.00      -16.00
00173             280.00      -16.00
00174             320.00      -16.00
00175             280.00      -20.00
00176             280.00      -16.00
00177             280.00      -16.00
00178             280.00      -12.00
00179             240.00       -8.00
00180             240.00      -20.00
00181             240.00      -16.00
00182             280.00      -16.00
00183             240.00      -16.00
00184             240.00      -16.00
00185             280.00      -20.00
00186             240.00      -16.00
00187             240.00      -20.00
00188             280.00      -12.00
00189             240.00      -16.00
00190             240.00      -16.00
00191             280.00      -16.00
00192             240.00      -16.00
00193             240.00      -20.00
00194             280.00      -20.00
00195             240.00      -20.00
00196             240.00      -16.00
00197             240.00      -16.00
00198             240.00      -12.00
00199             240.00      -12.00
00200             240.00      -20.00
00201             240.00      -16.00
00202             240.00      -20.00
00203             240.00      -16.00
00204             200.00      -20.00
00205             200.00      -16.00
00206             200.00      -16.00
00207             240.00      -16.00
00208             240.00      -16.00
00209             200.00      -16.00
00210             200.00      -16.00
00211             200.00      -20.00
00212             200.00      -16.00
00213             200.00      -12.00
00214             200.00      -16.00
00215             160.00      -16.00
00216             160.00      -16.00
00217             160.00      -16.00
00218             160.00      -16.00
00219             200.00      -16.00
00220             200.00      -16.00
00221             160.00      -16.00
00222             200.00      -16.00
00223             200.00      -20.00
00224             160.00      -20.00
00225             120.00      -16.00
00226             160.00      -16.00
00227             160.00      -20.00
00228             160.00      -12.00
00229             160.00      -20.00
00230             160.00      -20.00
00231             160.00      -16.00
00232             160.00      -20.00
00233             120.00      -16.00
00234             120.00      -20.00
00235             120.00      -16.00
00236             120.00      -20.00
00237             120.00      -20.00
00238             120.00      -16.00
00239              80.00      -20.00
00240              80.00      -16.00
00241              80.00      -16.00
00242             120.00      -16.00
00243             120.00      -16.00
00244             120.00      -16.00
00245              80.00       -8.00
00246              80.00      -16.00
00247              80.00      -20.00
00248              80.00      -16.00
00249             120.00      -20.00
00250              80.00      -16.00
00251              80.00      -16.00
00252              80.00      -16.00
00253              80.00      -16.00
00254              80.00      -24.00
00255              80.00      -16.00
00256              80.00      -16.00
00257              80.00      -20.00
00258              80.00      -24.00
00259              80.00      -24.00
00260              40.00      -12.00
00261              40.00      500.00
00262            -560.00      500.00
00263            -520.00      500.00
00264            -560.00      -36.00
00265            -560.00      -40.00
00266            -520.00      -44.00
00267            -480.00      -40.00
00268            -520.00      -40.00
00269            -480.00      -36.00
00270            -520.00      -28.00
00271            -520.00      -36.00
00272            -480.00      -12.00
00273            -480.00      -36.00
00274            -480.00      -32.00
00275            -480.00      -32.00
00276            -480.00      -32.00
00277            -440.00      -32.00
00278            -440.00      -32.00
00279            -440.00      -32.00
00280            -440.00      -32.00
00281            -440.00      -32.00
00282            -440.00      -32.00
00283            -440.00      -36.00
00284            -440.00      -32.00
00285            -400.00      -32.00
00286            -400.00      -28.00
00287            -400.00      -28.00
00288            -400.00      -28.00
00289            -400.00      -32.00
00290            -400.00      -32.00
00291            -360.00      -28.00
00292            -360.00      -32.00
00293            -360.00      -32.00
00294            -320.00      -28.00
00295            -360.00      -32.00
00296            -360.00      -24.00
00297            -360.00      -32.00
00298            -320.00      -24.00
00299            -320.00      -28.00
00300            -320.00      -28.00
00301            -320.00      -28.00
00302            -280.00      -28.00
00303            -280.00      -32.00
00304            -280.00      -24.00
00305            -280.00      -32.00
00306            -240.00      -28.00
00307            -240.00      -32.00
00308            -280.00      -28.00
00309            -240.00      -32.00
00310            -280.00      -24.00
00311            -280.00      -24.00
00312            -240.00      -24.00
00313            -240.00      -28.00
00314            -240.00      -24.00
00315            -240.00      -28.00
00316            -240.00      -24.00
00317            -200.00      -28.00
00318            -200.00      -20.00
00319            -200.00      -24.00
00320            -200.00      -20.00
00321            -160.00      -24.00
00322            -160.00      -24.00
00323            -160.00      -24.00
00324            -160.00      -24.00
00325            -200.00      -28.00
00326            -120.00      -24.00
00327            -120.00      -24.00
00328            -160.00      -24.00
00329            -120.00      -20.00
00330            -120.00      -28.00
00331             -80.00      -24.00
00332             -80.00      -20.00
00333             -80.00      -36.00
00334             -80.00      -24.00
00335             -80.00      -20.00
00336             -80.00      -24.00
00337             -40.00      -24.00
00338             -40.00      -24.00
00339             -40.00      -20.00
00340             -40.00      -24.00
00341             -40.00      -24.00
00342             -40.00      -20.00
00343               0.00      -20.00
00344               0.00      -20.00
00345               0.00      -20.00
00346               0.00      -20.00
00347              40.00      -20.00
00348               0.00      -20.00
00349              40.00      -20.00
00350              40.00      -20.00
00351              40.00      -20.00
00352              40.00      -16.00
00353              40.00      -20.00
00354              40.00      -28.00
00355              80.00      -20.00
00356              80.00      -24.00
00357              80.00      -20.00
00358              80.00      -20.00
00359              80.00      -16.00
00360              80.00      -28.00
00361             120.00      -24.00
00362             120.00      -20.00
00363             120.00      -16.00
00364             120.00      -24.00
00365             120.00      -24.00
00366             160.00      -16.00
00367             160.00      -24.00
00368             120.00      -20.00
00369             120.00      -20.00
00370             160.00      -20.00
00371             200.00      -20.00
00372             200.00      -24.00
00373             200.00      -20.00
00374             200.00      -16.00
00375             160.00      -24.00
00376             200.00      -20.00
00377             200.00      -16.00
00378             200.00      -24.00
00379             200.00      -20.00
00380             200.00      -20.00
00381             200.00      -20.00
00382             240.00      -16.00
00383             200.00      -16.00
00384             240.00      -12.00
00385             200.00      -20.00
00386             240.00      -20.00
00387             240.00      -20.00
00388             240.00      -20.00
00389             240.00      -20.00
00390             240.00      -24.00
00391             240.00      -20.00
00392             240.00      -20.00
00393             280.00      -20.00
00394             240.00      -20.00
00395             240.00      -20.00
00396             240.00      -20.00
00397             240.00      -16.00
00398             240.00      -24.00
00399             280.00      -20.00
00400             240.00      -20.00
00401             280.00      -20.00
00402             240.00      -24.00
00403             240.00      -16.00
00404             280.00      -16.00
00405             280.00      -24.00
00406             280.00      -20.00
00407             240.00      -20.00
00408             240.00      -16.00
00409             320.00      -16.00
00410             280.00      -16.00
00411             280.00      -16.00
00412             280.00      -24.00
00413             240.00      -16.00
00414             320.00      -20.00
00415             280.00      -20.00
00416             280.00      -24.00
00417             240.00      -16.00
00418             240.00      -16.00
00419             280.00      -16.00
00420             280.00      -16.00
00421             280.00      -20.00
00422             320.00      -16.00
00423             240.00      -16.00
00424             280.00      -20.00
00425             240.00      -20.00
00426             280.00      -16.00
00427             280.00      -20.00
